RK,PO,E
1165,2,0
1166,0,0
1167,0,0
1168,1,0
1169,21,0
1170,0,0
1171,2,0
1172,2,0
1173,3,0
1174,18,0
1175,3,0
1176,336,1
1177,867,3
1178,778,4
1179,186,1
1180,304,3
1181,272,3
1182,84,1
1183,250,3
1184,227,12
1185,39,3
1186,199,5
1187,11,1
1188,180,15
1189,35,1
1190,90,10
1191,12,1
1192,6,1
1193,16,1
1194,9,2
1195,1,1
1196,4,1
1197,4,2
1198,2,1
1199,2,4
1200,4,3
1201,1,1
1202,0,1
1203,0,1
1204,0,0
1205,12,0
1206,0,0
1207,2,0
1208,1,0
1209,1,0
1210,1,0
1211,2,0
1212,0,0
1213,15,0
1214,3,0
1215,3,0
1216,3,0
1217,83,0
1218,2,0
1219,3,0
1220,31,0
1221,1,0
1222,164,0
1223,1,0
1224,0,0
1225,2,0
1226,0,0
1227,1157,5
1228,178,1
1229,181,1
1230,50,1
1231,767,7
1232,53,1
1233,34,1
1234,151,2
1235,72,1
1236,126,2
1237,141,6
1238,45,2
1239,157,3
1240,97,2
1241,40,1
1242,235,21
1243,159,5
1244,242,14
1245,10,1
1246,42,9
1247,5,1
1248,15,3
1249,4,2
1250,3,1
1251,2,2
1252,4,2
1253,0,0
1254,0,0
1255,27,0
1256,1,0
1257,3,0
1258,1,0
1259,13,0
1260,67,0
1261,9,0
1262,0,0
1263,1,0
1264,8,0
1265,2,0
1266,1,0
1267,17,0
1268,2,0
1269,38,0
1270,1,0
1271,1,0
1272,2,0
1273,7,0
1274,2,0
1275,1,0
1276,0,0
1277,4,0
1278,202,1
1279,825,5
1280,393,3
1281,109,1
1282,104,1
1283,612,7
1284,78,1
1285,210,8
1286,56,1
1287,557,11
1288,247,12
1289,18,1
1290,372,9
1291,33,1
1292,88,3
1293,82,6
1294,7,1
1295,93,13
1296,7,1
1297,3,2
1298,5,4
1299,1,2
1300,1,2
1301,0,1
1302,0,0
1303,0,0
1304,26,0
1305,43,0
1306,0,0
1307,1,0
1308,4,0
1309,1,0
1310,2,0
1311,0,0
1312,0,0
1313,2,0
1314,31,0
1315,0,0
1316,1,0
1317,5,0
1318,1,0
1319,2,0
1320,1,0
1321,4,0
1322,3,0
1323,1261,3
1324,221,1
1325,190,1
1326,882,9
1327,263,3
1328,165,2
1329,165,2
1330,36,1
1331,61,2
1332,114,6
1333,47,1
1334,104,3
1335,14,1
1336,61,2
1337,11,1
1338,145,6
1339,155,14
1340,102,11
1341,46,5
1342,10,1
1343,56,8
1344,1,1
1345,9,2
1346,2,1
1347,22,5
1348,2,1
